date,max_temperature,min_temperature
16/05/2014,27.9,14.1
17/05/2014,26,16.6
18/05/2014,24.5,18.5
19/05/2014,25.2,16.5
20/05/2014,26,17.4
21/05/2014,32.6,17.1
22/05/2014,26.9,19.8
23/05/2014,26.5,18.1
24/05/2014,26.7,17.3
25/05/2014,27.1,17.4
26/05/2014,27.7,17.1
27/05/2014,32.3,18.1
28/05/2014,28.8,20.2
29/05/2014,28.7,20.3
30/05/2014,35,16.7
31/05/2014,30.5,22.2
01/06/2014,26.8,19
02/06/2014,27,18.4
03/06/2014,30.1,17.6
04/06/2014,41.3,19.3
05/06/2014,35,23.2
06/06/2014,27,20.3
07/06/2014,27.5,19.3
08/06/2014,28.5,17.9
09/06/2014,27.8,18.4
10/06/2014,28,20.2
11/06/2014,28.7,20
12/06/2014,28.4,18.8
13/06/2014,28.6,20.4
14/06/2014,29.8,19.5
15/06/2014,30.9,18.9
16/06/2014,32,17.9
17/06/2014,32.8,20.4
18/06/2014,29.7,21.2
19/06/2014,32.6,21.5
20/06/2014,35.5,22.8
21/06/2014,29.2,23.9
22/06/2014,29.3,21.4
23/06/2014,29,21.1
24/06/2014,30.1,20.6
25/06/2014,31.3,21
26/06/2014,31,20.4
27/06/2014,32.4,19.3
28/06/2014,34.2,22
29/06/2014,34.8,22.4
30/06/2014,31,23.9
01/07/2014,31,22.3
02/07/2014,31.5,22.5
03/07/2014,31.8,23.2
04/07/2014,31.5,22.8
05/07/2014,30.8,24.3
06/07/2014,31.9,21.9
07/07/2014,31.3,21.8
08/07/2014,31.8,22.6
09/07/2014,31.8,22.2
10/07/2014,33.4,20.2
11/07/2014,33,21.6
12/07/2014,34.6,21.5
13/07/2014,31.4,24.1
14/07/2014,30.9,23.8
15/07/2014,31.1,22.7
16/07/2014,31.1,22.1
17/07/2014,30.7,22.2
18/07/2014,30.7,22.8
19/07/2014,31.1,23.7
20/07/2014,31,23.2
21/07/2014,31.4,24.3
22/07/2014,31.4,22.3
23/07/2014,32.3,23.1
24/07/2014,32.3,23.2
25/07/2014,31.3,22.3
26/07/2014,31.5,21.5
27/07/2014,32.3,22.6
28/07/2014,31.7,23.4
29/07/2014,32.4,24
30/07/2014,32.7,23
31/07/2014,32,23.3
01/08/2014,32.1,22.8
02/08/2014,32.2,21.6
03/08/2014,31.6,23.4
04/08/2014,32,24.3
05/08/2014,32.3,25.1
06/08/2014,32.6,24.8
07/08/2014,33.1,22.8
08/08/2014,32.2,23.6
09/08/2014,31.4,22.6
10/08/2014,32,23.9
11/08/2014,32.2,22.2
12/08/2014,32.5,22.2
13/08/2014,33.4,23.3
14/08/2014,32.7,23.8
15/08/2014,32.5,25
16/08/2014,32.6,25.2
17/08/2014,33.1,23.6
18/08/2014,32.9,25.1
19/08/2014,32.6,24.5
20/08/2014,32.7,23.4
21/08/2014,31.9,22.3
22/08/2014,31.9,23.6
23/08/2014,32.6,24.1
24/08/2014,33.6,23.5
25/08/2014,34.2,22.9
26/08/2014,33.7,22.9
27/08/2014,33.1,22.9
28/08/2014,32.5,23.4
29/08/2014,32.5,23.5
30/08/2014,32.6,23.8
31/08/2014,32.4,27.5
01/09/2014,32.6,25
02/09/2014,32.1,23.4
03/09/2014,31.9,22.1
04/09/2014,31.7,21.9
05/09/2014,32.3,22.8
06/09/2014,32,23.7
07/09/2014,32.2,22.8
08/09/2014,31.5,22.3
09/09/2014,31.8,22.3
10/09/2014,31.5,21.5
11/09/2014,31.4,22.4
12/09/2014,30.8,21.8
13/09/2014,30.9,21
14/09/2014,31.2,20.7
15/09/2014,31.7,23.5
16/09/2014,31.4,22.3
17/09/2014,38.2,20.5
18/09/2014,31.3,24.2
19/09/2014,31,21.2
20/09/2014,30.7,21.5
21/09/2014,30.8,20.8
22/09/2014,30.8,20.3
23/09/2014,30.8,21.8
24/09/2014,32,21
25/09/2014,31.8,21.5
26/09/2014,30.9,22.2
27/09/2014,34.2,21.9
28/09/2014,29,24.3
29/09/2014,27.9,20.3
30/09/2014,28.9,17.5
01/10/2014,29.5,18.2
02/10/2014,28.7,20.9
03/10/2014,29.3,18.7
04/10/2014,28.7,17
05/10/2014,28.2,16.4
06/10/2014,28.9,16.7
07/10/2014,29.6,16.5
08/10/2014,30.8,17.3
09/10/2014,29.1,19.5
10/10/2014,30,18.9
11/10/2014,28.1,21.8
12/10/2014,28.9,18.7
13/10/2014,28.3,17.8
14/10/2014,28.1,17.8
15/10/2014,28,18.2
16/10/2014,27.3,17.2
17/10/2014,28.7,16.5
18/10/2014,28,20.3
19/10/2014,28.4,19.8
20/10/2014,25.7,16.3
21/10/2014,26.6,13.6
22/10/2014,27.2,12.5
23/10/2014,27.7,16.7
24/10/2014,29.1,14
25/10/2014,30.2,13.1
26/10/2014,29.4,14.9
27/10/2014,29,14
28/10/2014,27.4,17.5
29/10/2014,27.1,16.5
30/10/2014,26.8,17.1
31/10/2014,24.6,17
01/11/2014,25.9,17.2
02/11/2014,30,16.5
03/11/2014,26.9,18.3
04/11/2014,24.8,16.2
05/11/2014,24.5,16.6
06/11/2014,26,12.9
07/11/2014,25.6,12.1
08/11/2014,28.7,13.9
09/11/2014,29.3,12.6
10/11/2014,26.1,12.2
11/11/2014,25.1,14.4
12/11/2014,25.3,13.9
13/11/2014,25.5,12.8
14/11/2014,26.9,13.9
15/11/2014,25.4,13
16/11/2014,21.7,13.3
17/11/2014,24.1,16.4
18/11/2014,23.8,13.6
19/11/2014,27.2,12.1
20/11/2014,26.8,14.4
21/11/2014,24,13.7
22/11/2014,23.6,19.4
23/11/2014,20.6,14.4
24/11/2014,16.1,12.9
25/11/2014,19.1,10.5
26/11/2014,17.9,13.2
