"","date","total_killed","total_events_located_IL","total_events_located_yesha","total_events_target_civilian","total_events_target_security_forces","total_attacks","yearweek","week_range"
"147",2002-03-02,11,1,NA,1,NA,1,"2002-W08","2002-02-24 UTC--2002-03-02 UTC"
"148",2002-03-03,10,NA,1,NA,1,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"149",2002-03-03,1,NA,1,NA,1,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"150",2002-03-05,1,NA,1,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"151",2002-03-05,2,1,NA,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"152",2002-03-05,1,1,NA,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"153",2002-03-05,1,1,NA,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"154",2002-03-06,1,1,NA,NA,1,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"155",2002-03-07,5,NA,1,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"156",2002-03-08,1,NA,1,NA,1,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"157",2002-03-09,1,1,NA,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"158",2002-03-09,11,1,NA,1,NA,1,"2002-W09","2002-03-03 UTC--2002-03-09 UTC"
"159",2002-03-10,1,NA,1,1,NA,1,"2002-W10","2002-03-10 UTC--2002-03-16 UTC"
"160",2002-03-12,1,NA,1,1,NA,1,"2002-W10","2002-03-10 UTC--2002-03-16 UTC"
"161",2002-03-13,1,NA,1,NA,1,1,"2002-W10","2002-03-10 UTC--2002-03-16 UTC"
"162",2002-03-14,3,NA,1,NA,1,1,"2002-W10","2002-03-10 UTC--2002-03-16 UTC"
"163",2002-03-17,1,1,NA,1,NA,1,"2002-W11","2002-03-17 UTC--2002-03-23 UTC"
"164",2002-03-19,1,NA,1,NA,1,1,"2002-W11","2002-03-17 UTC--2002-03-23 UTC"
"165",2002-03-20,7,1,NA,1,NA,1,"2002-W11","2002-03-17 UTC--2002-03-23 UTC"
"166",2002-03-21,3,1,NA,1,NA,1,"2002-W11","2002-03-17 UTC--2002-03-23 UTC"
"167",2002-03-24,1,NA,1,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"168",2002-03-24,1,NA,1,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"169",2002-03-27,27,1,NA,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"170",2002-03-28,4,NA,1,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"171",2002-03-29,2,NA,1,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"172",2002-03-29,2,1,NA,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"173",2002-03-29,2,NA,1,NA,1,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"174",2002-03-30,1,1,NA,1,NA,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"175",2002-03-30,1,1,NA,NA,1,1,"2002-W12","2002-03-24 UTC--2002-03-30 UTC"
"176",2002-03-31,15,1,NA,1,NA,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"177",2002-04-01,1,NA,1,NA,1,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"178",2002-04-01,1,1,NA,1,NA,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"179",2002-04-03,1,NA,1,NA,1,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"180",2002-04-04,4,NA,1,NA,1,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"181",2002-04-05,3,NA,1,NA,1,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"182",2002-04-06,1,NA,1,1,NA,1,"2002-W13","2002-03-31 UTC--2002-04-06 UTC"
"183",2002-04-08,2,NA,1,NA,1,1,"2002-W14","2002-04-07 UTC--2002-04-13 UTC"
"184",2002-04-09,14,NA,1,NA,1,1,"2002-W14","2002-04-07 UTC--2002-04-13 UTC"
"185",2002-04-10,8,1,NA,1,NA,1,"2002-W14","2002-04-07 UTC--2002-04-13 UTC"
"186",2002-04-12,4,1,NA,1,NA,1,"2002-W14","2002-04-07 UTC--2002-04-13 UTC"
"187",2002-04-12,1,NA,1,1,NA,1,"2002-W14","2002-04-07 UTC--2002-04-13 UTC"
"188",2002-04-20,1,NA,1,1,NA,1,"2002-W15","2002-04-14 UTC--2002-04-20 UTC"
"189",2002-04-22,1,NA,1,NA,1,1,"2002-W16","2002-04-21 UTC--2002-04-27 UTC"
"190",2002-04-27,4,NA,1,1,NA,1,"2002-W16","2002-04-21 UTC--2002-04-27 UTC"
"191",2002-05-03,1,NA,1,NA,1,1,"2002-W17","2002-04-28 UTC--2002-05-04 UTC"
"192",2002-05-07,15,1,NA,1,NA,1,"2002-W18","2002-05-05 UTC--2002-05-11 UTC"
"193",2002-05-12,1,NA,1,1,NA,1,"2002-W19","2002-05-12 UTC--2002-05-18 UTC"
"194",2002-05-19,3,1,NA,1,NA,1,"2002-W20","2002-05-19 UTC--2002-05-25 UTC"
