yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2007-W21,1,2.2421875,2007-05-31,0,1,1,0,0,0,0,0,0,0
2007-W22,NA,NA,NA,0,0,1,1,0,0,0,0,0,0
2007-W23,NA,NA,NA,0,0,0,1,1,0,0,0,0,0
2007-W24,NA,NA,NA,0,0,0,0,1,1,0,0,0,0
2007-W25,NA,2.100790513833992,2007-06-30,0,0,0,0,0,1,1,0,0,0
2007-W26,NA,NA,NA,0,0,0,0,0,0,1,1,0,0
2007-W27,NA,NA,NA,0,0,0,0,0,0,0,1,1,0
2007-W28,NA,NA,NA,0,0,0,0,0,0,0,0,1,1
2007-W29,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
2007-W30,NA,2.1571709233791747,2007-07-31,0,0,0,0,0,0,0,0,0,0
2007-W31,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W32,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W34,NA,2.2162698412698414,2007-08-31,0,0,0,0,0,0,0,0,0,0
2007-W35,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W36,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W37,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W38,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W39,NA,2.0264227642276422,2007-09-30,0,0,0,0,0,0,0,0,0,0
2007-W40,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W41,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W42,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W43,NA,2.0918163672654693,2007-10-31,0,0,0,0,0,0,0,0,0,0
2007-W44,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W45,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W46,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W47,NA,2.04,2007-11-30,0,0,0,0,0,0,0,0,0,0
2007-W48,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W49,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W50,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W51,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2007-W52,NA,2.015873015873016,2007-12-31,0,0,0,0,0,0,0,0,0,0
2008-W00,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2008-W01,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2008-W02,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2008-W03,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
2008-W04,NA,2.299009900990099,2008-01-31,0,0,0,0,0,0,0,0,0,0
2008-W05,1,NA,NA,0,1,0,0,0,0,0,0,0,0
2008-W06,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
2008-W07,NA,NA,NA,0,0,0,1,0,0,0,0,0,0
