yearweek,total_killed,q3,survey_date,intifada,week0ago,week1ago,week2ago,week3ago,week4ago,week5ago,week6ago,week7ago,week8ago
2004-W41,NA,NA,NA,1,0,0,5,6,0,0,16,0,0
2004-W42,2,NA,NA,1,2,0,0,5,6,0,0,16,0
2004-W43,1,2.003944773,30/10/2004,1,1,2,0,0,5,6,0,0,16
2004-W44,3,NA,NA,1,3,1,2,0,0,5,6,0,0
2004-W45,NA,NA,NA,1,0,3,1,2,0,0,5,6,0
2004-W46,NA,NA,NA,1,0,0,3,1,2,0,0,5,6
2004-W47,NA,NA,NA,1,0,0,0,3,1,2,0,0,5
2004-W48,NA,1.92745098,30/11/2004,1,0,0,0,0,3,1,2,0,0
2004-W49,1,NA,NA,1,1,0,0,0,0,3,1,2,0
2004-W50,5,NA,NA,1,5,1,0,0,0,0,3,1,2
2004-W51,2,NA,NA,1,2,5,1,0,0,0,0,3,1
2004-W52,NA,1.878612717,29/12/2004,1,0,2,5,1,0,0,0,0,3
2005-W00,NA,NA,NA,1,0,0,2,5,1,0,0,0,0
2005-W01,4,NA,NA,1,4,0,0,2,5,1,0,0,0
2005-W02,8,NA,NA,1,8,4,0,0,2,5,1,0,0
2005-W03,1,NA,NA,1,1,8,4,0,0,2,5,1,0
2005-W04,NA,NA,NA,1,0,1,8,4,0,0,2,5,1
2005-W05,NA,1.781496063,31/01/2005,1,0,0,1,8,4,0,0,2,5
2005-W06,NA,NA,NA,1,0,0,0,1,8,4,0,0,2
2005-W07,NA,NA,NA,0,0,0,0,0,1,8,4,0,0
2005-W08,5,NA,NA,0,5,0,0,0,0,1,8,4,0
2005-W09,NA,1.848425197,27/02/2005,0,0,5,0,0,0,0,1,8,4
2005-W10,NA,NA,NA,0,0,0,5,0,0,0,0,1,8
2005-W11,NA,NA,NA,0,0,0,0,5,0,0,0,0,1
2005-W12,NA,NA,NA,0,0,0,0,0,5,0,0,0,0
2005-W13,NA,1.861056751,31/03/2005,0,0,0,0,0,0,5,0,0,0
2005-W14,NA,NA,NA,0,0,0,0,0,0,0,5,0,0
2005-W15,NA,NA,NA,0,0,0,0,0,0,0,0,5,0
2005-W16,NA,NA,NA,0,0,0,0,0,0,0,0,0,5
2005-W17,NA,1.952662722,30/04/2005,0,0,0,0,0,0,0,0,0,0
2005-W18,1,NA,NA,0,1,0,0,0,0,0,0,0,0
2005-W19,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
2005-W20,NA,NA,NA,0,0,0,1,0,0,0,0,0,0
2005-W21,NA,NA,NA,0,0,0,0,1,0,0,0,0,0
2005-W22,NA,1.87007874,31/05/2005,0,0,0,0,0,1,0,0,0,0
2005-W23,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
2005-W24,NA,NA,NA,0,0,0,0,0,0,0,1,0,0
2005-W25,4,NA,NA,0,4,0,0,0,0,0,0,1,0
2005-W26,NA,1.908366534,30/06/2005,0,0,4,0,0,0,0,0,0,1
2005-W27,NA,NA,NA,0,0,0,4,0,0,0,0,0,0
2005-W28,6,NA,NA,0,6,0,0,4,0,0,0,0,0
2005-W29,NA,NA,NA,0,0,6,0,0,4,0,0,0,0
2005-W30,2,NA,NA,0,2,0,6,0,0,4,0,0,0
2005-W31,NA,2.047524752,31/07/2005,0,0,2,0,6,0,0,4,0,0
2005-W32,NA,NA,NA,0,0,0,2,0,6,0,0,4,0
2005-W33,NA,NA,NA,0,0,0,0,2,0,6,0,0,4
2005-W34,NA,NA,NA,0,0,0,0,0,2,0,6,0,0
2005-W35,NA,1.966336634,31/08/2005,0,0,0,0,0,0,2,0,6,0
2005-W36,NA,NA,NA,0,0,0,0,0,0,0,2,0,6
2005-W37,NA,NA,NA,0,0,0,0,0,0,0,0,2,0
2005-W38,1,NA,NA,0,1,0,0,0,0,0,0,0,2
2005-W39,NA,1.956862745,29/09/2005,0,0,1,0,0,0,0,0,0,0
