"household_questionnaire_id","time_to_irrigate_1_katha__p_1","district","year","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T304807087",60,1,2018,15,5,NA,6,6,NA,NA,NA,NA,20,12,NA,32,"Control",0
"T304804086",60,1,2018,178.5,NA,NA,85,NA,NA,NA,NA,NA,178.5,85,NA,263.5,"Control",0
"T304808083",60,1,2018,56,NA,NA,30,NA,NA,NA,NA,NA,56,30,NA,86,"Control",0
"T304808082",60,1,2018,40,40,NA,10,10,NA,NA,NA,NA,80,20,NA,100,"Control",0
"T301503080",60,1,2018,37.5,NA,NA,24,NA,NA,NA,NA,NA,37.5,24,NA,61.5,"Control",0
"T305105014",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309006004",1,2,2018,131.25,NA,NA,7.5,NA,NA,NA,NA,NA,131.25,7.5,NA,138.75,"Control",0
"T305102015",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T309504024",60,2,2018,200,NA,NA,240,NA,NA,NA,NA,NA,200,240,NA,440,"Control",0
"T302608050",90,2,2018,360,NA,NA,325,NA,NA,NA,NA,NA,360,325,NA,685,"Control",0
"T300401028",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305104033",60,2,2018,150,NA,NA,35,NA,NA,NA,NA,NA,150,35,NA,185,"Control",0
"T300607023",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",0
"T305404025",90,2,2018,390,NA,NA,250,NA,NA,NA,NA,NA,390,250,NA,640,"Control",0
"T309904032",90,2,2018,30,NA,NA,10,NA,NA,NA,NA,NA,30,10,NA,40,"Control",0
"T300603032",160,2,2018,125,NA,NA,180,NA,NA,NA,NA,NA,125,180,NA,305,"Control",0
"T301911010",75,3,2018,500,NA,NA,225,NA,NA,243.75,NA,NA,500,225,243.75,968.75,"Treatment",1
"T306004001",60,2,2018,25,NA,NA,90,NA,NA,75,NA,NA,25,90,75,190,"Treatment",1
"T305607002",50,2,2018,128.000001907349,NA,NA,256.000003814697,NA,NA,64.0000009536743,NA,NA,128.000001907349,256.000003814697,64.0000009536743,448.00000667572,"Treatment",1
"T300307001",60,2,2018,200,NA,NA,NA,NA,NA,180,NA,NA,200,NA,180,380,"Treatment",1
"T304802030",50,1,2018,NA,NA,NA,24.0000009536743,NA,NA,15.0000005960464,NA,NA,NA,24.0000009536743,15.0000005960464,39.0000015497208,"Treatment",1
"T306102001",45,2,2018,200,NA,NA,25,NA,NA,150,NA,NA,200,25,150,375,"Treatment",1
"T305519001",NA,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T305607004",30,2,2018,54.0000021457672,NA,NA,72.0000028610229,NA,NA,18.0000007152557,NA,NA,54.0000021457672,72.0000028610229,18.0000007152557,144.000005722046,"Treatment",1
"T302806050",50,1,2018,15.0000005960464,NA,NA,72.0000028610229,NA,NA,72.0000028610229,NA,NA,15.0000005960464,72.0000028610229,72.0000028610229,159.000006318092,"Treatment",1
"T306102002",60,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T309708020",50,1,2018,240,NA,NA,30,NA,NA,120,NA,NA,240,30,120,390,"Treatment",1
"T305607005",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T308705001",30,2,2018,NA,12.5,NA,NA,NA,NA,NA,12.5,NA,12.5,NA,12.5,25,"Treatment",1
"T305602003",NA,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T308707002",25,2,2018,1620,NA,NA,900,NA,NA,1080,NA,NA,1620,900,1080,3600,"Treatment",1
"T305602001",20,2,2018,NA,225,NA,NA,120,NA,NA,264,NA,225,120,264,609,"Control",0
"T303007001",20,2,2018,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,"Treatment",1
"T300508099",60,3,2018,50,NA,NA,150,NA,NA,450,NA,NA,50,150,450,650,"Treatment",1
"T308703001",30,2,2018,50,NA,NA,50,NA,NA,NA,NA,NA,50,50,NA,100,"Treatment",1
