"household_questionnaire_id","homestead_dwelling_area","land_for_cultivation","land_for_aquaculture_ponds","perm_fallow_land","orchard_land","total_property","land_owned_women","landarea_women","who_owns_it","since_when_month","since_when_year","reason_transfer","woman_homestead","woman_perm_fallow_land","woman_aquaculture_ponds","woman_orchard","woman_land_cultivation","how_many_agricultural_plots","plot_size_pl1_bore_a","plot_size_pl2_bore_b","plot_size_pl3_bore_c","type_pump_pl1_bore_a","type_pump_pl2_bore_b","type_pump_pl3_bore_c","pump_fixed_pl1_bore_a","pump_fixed_pl2_bore_b","pump_fixed_pl3_bore_c","cropecon_plot_pl1_bore_a","cropecon_plot_pl2_bore_b","cropecon_plot_pl3_bore_c","five_years_back_totalland","mode_of_pay_lease","if_fixed_leaserate_per_katha","if_share_of_produce_prop1","if_share_of_produce_prop2","district","year","TreatmentControl","TC"
"T302501007",2.70000004768372,60,0,0,0,62.7000007629395,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,20,10,NA,2,2,NA,2,2,NA,1,2,NA,62.7000007629395,2,NA,50,50,3,2019,"Control",0
"T302608007",2.29999995231628,45,0,0,0,47.2999992370605,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2019,"Control",0
"T302602008",1,80,0,0,0,81,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,30,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,NA,0,0,0,0,2,2019,"Control",0
"T305006119",0.400000005960464,25,0,0,0,25.3999996185303,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,4,12,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,25,NA,NA,NA,NA,1,2019,"Control",0
"T307103093",0.400000005960464,50,0,0,0,50.4000015258789,2,NA,NA,NA,NA,"",0,0,0,0,0,8,20,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,50,NA,NA,NA,NA,1,2019,"Control",0
"T303906006",2,70,15,0,0,87,1,2,4,NA,2074,"",2,0,0,0,0,7,17,NA,NA,0,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2019,"Control",0
"T304702127",1,20,0,0,0,21,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,15,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,20,NA,NA,NA,NA,1,2019,"Control",0
"T304706130",2,40,0,0,0,42,1,10,2,3,2070,"",0,0,0,0,10,3,20,16,NA,1,1,NA,2,2,NA,1,1,NA,12,2,0,50,50,1,2019,"Control",0
"T302409104",0.5,20,0,0,0,20.5,2,NA,NA,NA,NA,"",0,0,0,0,0,3,10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,20,NA,NA,NA,NA,1,2019,"Control",0
"T300509098",0.899999976158142,26,0,0,0,26.8999996185303,1,4.59999990463257,2,NA,2050,"",0,0,0,0,4,6,16,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,20,NA,NA,NA,NA,1,2019,"Control",0
"T300901112",2,120,0,0,0,122,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,7,40,30,NA,2,5,NA,2,1,NA,1,NA,NA,120,2,NA,50,50,2,2019,"Control",0
"T300902111",3.5,40,0,0,3,46.5,2,NA,NA,NA,NA,"",0,0,0,0,0,4,30,5,NA,2,2,NA,2,2,NA,1,NA,NA,300,2,0,50,50,1,2019,"Control",0
"T301001084",0.850000023841858,40,0,0,0,40.8499984741211,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,12,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,40.8499984741211,2,NA,50,50,1,2019,"Control",0
"T301805004",8,80,0,0,4,92,1,20,4,NA,2071,"",NA,NA,NA,NA,20,4,30,20,20,2,2,1,2,2,2,1,2,3,NA,NA,NA,NA,NA,3,2019,"Control",0
"T301503073",2,20,0,0,15,37,2,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,1,2019,"Control",0
