"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T210701007",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C004703001",150,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100505004",NA,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T107601002",120,2019,"SAPTARI",NA,9,NA,NA,9,NA,NA,54,NA,9,9,54,72,"Control",NA
"T200101001",1,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210904002",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100505008",120,2019,"SAPTARI",20,NA,NA,NA,NA,NA,24,NA,NA,20,NA,24,44,"Control",NA
"T106604005",160,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100502005",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T100501007",120,2019,"SAPTARI",12,NA,NA,NA,NA,NA,20,NA,NA,12,NA,20,32,"Control",NA
"T203901008",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104203004",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T108803015",2,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T200102004",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109201006",90,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T211002001",60,2019,"SAPTARI",30,NA,NA,NA,NA,NA,90,NA,NA,30,NA,90,120,"Control",NA
"T102007004",60,2019,"SAPTARI",NA,NA,NA,16.2000006437302,NA,NA,10.8000004291534,NA,NA,NA,16.2000006437302,10.8000004291534,27.0000010728836,"Control",NA
"T205104006",30,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110510001",30,2019,"SAPTARI",9,NA,NA,NA,NA,NA,12,NA,NA,9,NA,12,21,"Control",NA
"T203907006",120,2019,"SAPTARI",16,NA,NA,NA,NA,NA,8,NA,NA,16,NA,8,24,"Control",NA
"T110502004",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203908009",120,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001410002",30,2019,"SAPTARI",12,NA,NA,NA,NA,NA,16,NA,NA,12,NA,16,28,"Control",NA
"T108808014",60,2019,"SAPTARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
