"year","district","household_questionnaire_id","days_in_a_season_pump_use_s_p1","hours_per_day_use_s__p_1","days_in_a_season_pump_use_s_p2","hours_per_day_use_s__p_2","days_in_a_season_pump_use_s_p3","hours_per_day_use_s__p_3","days_in_a_season_pump_use_m_p1","hours_per_day_use_m__p_1","days_in_a_season_pump_use_m_p2","hours_per_day_use_m__p_2","days_in_a_season_pump_use_m_p3","hours_per_day_use_m__p_3","days_in_a_season_pump_use_w_p1","hours_per_day_use_w__p_1","days_in_a_season_pump_use_w_p2","hours_per_day_use_w__p_2","days_in_a_season_pump_use_w_p3","hours_per_day_use_w__p_3","TreatmentControl","TC","ps1","ps2","ps3","pm1","pm2","pm3","pw1","pw2","pw3","Summer_hr","Monsoon_hr","Winter_hr","Yearly_hr","p1_hr","p2_hr","p3_hr","days_monsoon","days_winter","days_summer","days_year","days_p1","days_p2","days_p3"
2017,"Saptari","T205104006",NA,NA,NA,NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,75,NA,75,75,NA,NA,15,NA,NA,15,15,NA,NA
2017,"Saptari","T110503003",NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,50,NA,50,50,NA,NA,10,NA,NA,10,10,NA,NA
2017,"Saptari","T109203005",20,6,NA,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,120,NA,NA,40,NA,NA,NA,NA,NA,120,40,NA,160,160,NA,NA,10,NA,20,30,30,NA,NA
2017,"Saptari","T109202008",10,8,NA,NA,NA,NA,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,80,NA,NA,160,NA,NA,NA,NA,NA,80,160,NA,240,240,NA,NA,20,NA,10,30,30,NA,NA
2017,"Saptari","T210408001",NA,NA,NA,NA,NA,NA,2,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,10,8,NA,NA,NA,NA,NA,18,NA,18,10,8,NA,6,NA,NA,6,2,4,NA
2017,"Saptari","T106605002",NA,NA,NA,NA,NA,NA,20,4,5,3,NA,NA,8,3,NA,NA,NA,NA,"Treatment",1,NA,NA,NA,80,15,NA,24,NA,NA,NA,95,24,119,104,15,NA,25,8,NA,33,28,5,NA
2017,"Saptari","T203901002",NA,NA,30,8,NA,NA,10,3,30,10,NA,NA,8,5,35,8,NA,NA,"Treatment",1,NA,240,NA,30,300,NA,40,280,NA,240,330,320,890,70,820,NA,40,43,30,113,18,95,NA
2017,"Saptari","T210706005",NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,48,NA,48,48,NA,NA,8,NA,NA,8,8,NA,NA
2017,"Saptari","T210709001",10,5,5,5,NA,NA,10,5,5,4,NA,NA,40,6,10,4,NA,NA,"Treatment",1,50,25,NA,50,20,NA,240,40,NA,75,70,280,425,340,85,NA,15,50,15,80,60,20,NA
2017,"Saptari","T203901008",NA,NA,NA,NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,75,NA,75,75,NA,NA,15,NA,NA,15,15,NA,NA
2017,"Saptari","T203908009",NA,NA,NA,NA,NA,NA,15,5,NA,NA,NA,NA,5,3,NA,NA,NA,NA,"Control",NA,NA,NA,NA,75,NA,NA,15,NA,NA,NA,75,15,90,90,NA,NA,15,5,NA,20,20,NA,NA
2017,"Saptari","T210703006",NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,30,NA,30,30,NA,NA,5,NA,NA,5,5,NA,NA
2017,"Saptari","T109202009",10,6,NA,NA,NA,NA,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,60,NA,NA,80,NA,NA,NA,NA,NA,60,80,NA,140,140,NA,NA,10,NA,10,20,20,NA,NA
2017,"Saptari","A104507035",45,5,NA,NA,NA,NA,55,4,NA,NA,NA,NA,60,5,NA,NA,NA,NA,"Treatment",1,225,NA,NA,220,NA,NA,300,NA,NA,225,220,300,745,745,NA,NA,55,60,45,160,160,NA,NA
2017,"Saptari","A110402001",10,5,NA,NA,NA,NA,20,5,NA,NA,NA,NA,15,6,NA,NA,NA,NA,"Treatment",1,50,NA,NA,100,NA,NA,90,NA,NA,50,100,90,240,240,NA,NA,20,15,10,45,45,NA,NA
2018,"Saptari","T210703008",5,8,5,12,NA,NA,9,10,12,15,NA,12,NA,NA,NA,NA,NA,NA,"Control",NA,40,60,NA,90,180,NA,NA,NA,NA,100,270,NA,370,130,240,NA,21,NA,10,31,14,17,NA
2018,"Saptari","T210709003",3,6,4,5,2,6,15,7,5,7,NA,NA,13,6,NA,NA,NA,NA,"Treatment",1,18,20,12,105,35,NA,78,NA,NA,50,140,78,268,201,55,12,20,13,9,42,31,9,2
2018,"Saptari","T204807001",5,6,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,30,NA,NA,20,NA,NA,NA,NA,NA,30,20,NA,50,50,NA,NA,5,NA,5,10,10,NA,NA
2018,"Saptari","T103209004",5,8,NA,NA,NA,NA,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,40,NA,NA,84,NA,NA,NA,NA,NA,40,84,NA,124,124,NA,NA,7,NA,5,12,12,NA,NA
2018,"Saptari","C001401001",7,9,NA,NA,NA,NA,25,12,NA,NA,NA,NA,9,12,NA,NA,NA,NA,"Control",NA,63,NA,NA,300,NA,NA,108,NA,NA,63,300,108,471,471,NA,NA,25,9,7,41,41,NA,NA
2018,"Saptari","T110502004",2,5,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,10,NA,NA,10,NA,NA,NA,NA,NA,10,10,NA,20,20,NA,NA,2,NA,2,4,4,NA,NA
2018,"Saptari","T104201003",7,12,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,84,NA,NA,35,NA,NA,NA,NA,NA,84,35,NA,119,119,NA,NA,5,NA,7,12,12,NA,NA
2018,"Saptari","T109205004",7,6,5,5,NA,NA,15,7,12,5,NA,NA,7,7,NA,NA,NA,NA,"Treatment",1,42,25,NA,105,60,NA,49,NA,NA,67,165,49,281,196,85,NA,27,7,12,46,29,17,NA
