"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"T201105001",37,"Vegetables","Summer",4,1,4,2,2,1,15,3,0,0,2017,"Saptari","Control",0,8,"GREENLEAFY VEGETABLE"
"T200101001",47,"Vegetables","Winter",8,11,5,2,1,5,1,1,0,0,2017,"Saptari","Control",0,25,"POTATO"
"T203309003",37,"Vegetables","Summer",12,3,8,2,2,2,20,3,0,0,2017,"Saptari","Control",0,32,"GREENLEAFY VEGETABLE"
"T107607003",47,"Vegetables","Winter",8,12,10,2,2,3,2,1,50,20,2017,"Saptari","Control",0,60,"POTATO"
"T107607003",11,"Vegetables","Winter",8,12,5,2,2,3,30,3,50,30,2017,"Saptari","Control",0,30,"CHILLIES"
"T107607003",53,"Vegetables","Winter",8,12,5,2,2,4,1,1,50,40,2017,"Saptari","Control",0,40,"ONIONS"
"T107607003",12,"Vegetables","Summer",12,3,3,2,2,3,20,3,50,30,2017,"Saptari","Control",0,18,"CUUCMBER"
"T107607003",8,"Vegetables","Summer",12,3,3,2,2,4,20,3,50,30,2017,"Saptari","Control",0,24,"BRINJAL"
"T107607003",17,"Vegetables","Summer",12,3,5,2,2,5,30,3,75,40,2017,"Saptari","Control",0,50,"POINTED GOURD"
"T107607003",37,"Vegetables","Summer",12,3,5,2,2,4,20,3,75,20,2017,"Saptari","Control",0,40,"GREENLEAFY VEGETABLE"
"T107601002",47,"Vegetables","Winter",7,9,5,2,0.330000013113022,5,5,1,0,0,2017,"Saptari","Control",0,8.25000032782555,"POTATO"
"T107601002",44,"Vegetables","Winter",8,11,2,2,0.409999996423721,5,1,1,0,0,2017,"Saptari","Control",0,4.09999996423721,"CAULIFLOWER"
"T210904001",10,"Vegetables","Winter",12,3,3,2,1,8,10,3,0,0,2017,"Saptari","Treatment",1,24,"OKRA"
"T200101003",47,"Vegetables","Winter",7,10,2,2,1,4,5,1,0,0,2017,"Saptari","Control",0,8,"POTATO"
"T210904002",37,"Vegetables","Summer",12,3,5,2,2,4,20,3,0,0,2017,"Saptari","Control",0,40,"GREENLEAFY VEGETABLE"
"T210904002",8,"Vegetables","Summer",12,3,3,2,2,5,25,3,0,0,2017,"Saptari","Control",0,30,"BRINJAL"
"T210904002",16,"Vegetables","Summer",12,3,2,2,2,3,15,3,0,0,2017,"Saptari","Control",0,12,"SPONGE GOURD"
"T210905004",8,"Vegetables","Summer",12,3,2,2,1,3,20,3,0,0,2017,"Saptari","Control",0,6,"BRINJAL"
"T210905004",37,"Vegetables","Summer",12,3,3,2,1,4,15,3,0,0,2017,"Saptari","Control",0,12,"GREENLEAFY VEGETABLE"
"T210101002",10,"Vegetables","Summer",12,3,2,2,1,3,10,3,50,50,2017,"Saptari","Treatment",1,6,"OKRA"
"T210101002",8,"Vegetables","Summer",12,3,3,2,2,3,20,3,50,50,2017,"Saptari","Treatment",1,18,"BRINJAL"
"T100509003",37,"Vegetables","Summer",12,3,3,2,2,5,0,NA,0,0,2017,"Saptari","Control",0,30,"GREENLEAFY VEGETABLE"
"T100502006",37,"Vegetables","Summer",12,3,4,2,2,4,0,NA,0,0,2017,"Saptari","Control",0,32,"GREENLEAFY VEGETABLE"
"T100103003",8,"Vegetables","Summer",12,3,1,2,1,2,20,3,0,0,2017,"Saptari","Control",0,2,"BRINJAL"
"T100103003",37,"Vegetables","Summer",12,3,1,2,0.5,3,20,3,0,0,2017,"Saptari","Control",0,1.5,"GREENLEAFY VEGETABLE"
"T100505004",37,"Vegetables","Summer",12,3,5,2,2,2,0,0,50,70,2017,"Saptari","Control",0,20,"GREENLEAFY VEGETABLE"
"T109903002",12,"Vegetables","Summer",12,3,2,2,0.5,4,15,3,80,40,2017,"Saptari","Control",0,4,"CUCUMBER"
"T109903002",10,"Vegetables","Summer",12,3,1,2,0.5,4,15,3,80,30,2017,"Saptari","Control",0,2,"OKRA"
"T109903002",8,"Vegetables","Summer",12,3,1,2,0.5,5,20,3,80,40,2017,"Saptari","Control",0,2.5,"BRINJAL"
"T109903002",37,"Vegetables","Summer",12,3,2,2,0.5,4,20,3,80,25,2017,"Saptari","Control",0,4,"GREENLEAFY VEGETABLE"
"T109908003",47,"Vegetables","Winter",8,12,5,2,2,3,3,1,50,25,2017,"Saptari","Control",0,30,"POTATO"
"T109908003",53,"Vegetables","Winter",8,12,5,2,2,2,4,1,50,20,2017,"Saptari","Control",0,20,"ONIONS"
"C001410002",47,"Vegetables","Winter",9,11,1,2,2,5,10,1,50,14,2017,"Saptari","Control",0,10,"POTATO"
"C001410002",44,"Vegetables","Winter",9,11,1,2,2,4,0,NA,90,16,2017,"Saptari","Control",0,8,"CAULIFLOWER"
"C001410002",45,"Vegetables","Winter",9,11,1,2,2,4,0,NA,90,17,2017,"Saptari","Control",0,8,"CABBAGE"
"C001410002",8,"Vegetables","Winter",9,11,1,2,2,3,0,NA,90,20,2017,"Saptari","Control",0,6,"BRINJAL"
"T106604003",44,"Vegetables","Winter",9,11,2,2,2,4,0,NA,100,30,2017,"Saptari","Control",0,16,"CAULIFLOWER"
"T106604003",53,"Vegetables","Winter",9,12,2,2,2,5,8,1,50,14,2017,"Saptari","Control",0,20,"ONIONS"
"T106604003",21,"Vegetables","Winter",9,2,2,2,2,2,10,3,0,0,2017,"Saptari","Control",0,8,"GREEN PEA"
"T106604003",47,"Vegetables","Winter",9,12,4,2,2,3,9,1,50,16,2017,"Saptari","Control",0,24,"POTATO"
"T103207002",47,"Vegetables","Winter",9,12,2,2,2,4,9,1,50,16,2017,"Saptari","Control",0,16,"POTATO"
"T103207002",53,"Vegetables","Winter",9,12,1,2,2,6,6,1,0,0,2017,"Saptari","Control",0,12,"ONIONS"
"T103207002",55,"Vegetables","Winter",9,12,1,2,2,4,5,1,50,60,2017,"Saptari","Control",0,8,"GARLIC"
"T103207002",44,"Vegetables","Winter",9,12,2,2,2,4,0,NA,80,18,2017,"Saptari","Control",0,16,"CAULIFLOWER"
"T103207002",45,"Vegetables","Winter",9,12,2,2,2,4,0,NA,80,17,2017,"Saptari","Control",0,16,"CABBAGE"
"T104201002",47,"Vegetables","Winter",9,12,1,2,2,4,10,1,0,0,2017,"Saptari","Control",0,8,"POTATO"
"T104201002",53,"Vegetables","Winter",9,12,1,2,2,5,8,1,0,0,2017,"Saptari","Control",0,10,"ONIONS"
"T104201002",11,"Vegetables","Winter",9,12,1,2,2,4,0,NA,0,0,2017,"Saptari","Control",0,8,"CHILLIES"
"T205104005",47,"Vegetables","Winter",9,12,2,2,2,5,8,1,50,14,2017,"Saptari","Control",0,20,"POTATO"
"T205104005",44,"Vegetables","Winter",9,12,1,2,2,4,0,NA,90,16,2017,"Saptari","Control",0,8,"CAULIFLOWER"
"T205104005",45,"Vegetables","Winter",9,12,1,2,2,4,NA,NA,90,15,2017,"Saptari","Control",0,8,"CABBAGE"
"T205104005",53,"Vegetables","Winter",9,11,1,2,2,6,7,1,25,20,2017,"Saptari","Control",0,12,"ONIONS"
"T205104006",47,"Vegetables","Winter",9,12,3,2,2,4,10,1,50,18,2017,"Saptari","Control",0,24,"POTATO"
"T205104006",44,"Vegetables","Winter",9,12,1,2,2,5,0,NA,100,22,2017,"Saptari","Control",0,10,"CAULIFLOWER"
"T205104006",45,"Vegetables","Winter",9,12,1,2,2,5,0,NA,100,20,2017,"Saptari","Control",0,10,"CABBAGE"
"T205104006",53,"Vegetables","Winter",9,12,1,2,2,6,8,1,50,20,2017,"Saptari","Control",0,12,"ONIONS"
"T110503003",44,"Vegetables","Winter",8,12,1,2,2,4,0,NA,100,16,2017,"Saptari","Control",0,8,"CAULIFLOWER"
"T110503003",45,"Vegetables","Winter",8,12,1,2,2,4,0,NA,100,18,2017,"Saptari","Control",0,8,"CABBAGE"
"T110503003",47,"Vegetables","Winter",8,12,2,2,2,5,10,1,50,14,2017,"Saptari","Control",0,20,"POTATO"
"T106605002",47,"Vegetables","Winter",9,11,1.5,2,3,4,9,1,0,0,2017,"Saptari","Treatment",1,18,"POTATO"
