"household_questionnaire_id","type_of_crop","name_of_crop","season_of_crop","when_is_crop_sowed","when_is_crop_harvested","cult_area_under_crop","most_imp_source","hrs_irr_1katha","no_of_irrigation_for_1_katha","what_was_your_total_harvest","unit_harvest","percent_for_selling","price_per_kg","year","district","TreatmentControl","TC","irri_for_season","name_of_crop_detail"
"T109203003",33,"Pulses","Winter",7,11,1,0,0,0,30,3,25,80,2017,"Saptari","Control",0,0,"OTHER PULSES"
"T109203003",47,"Vegetables","Winter",7,9,3,2,2,4,13,1,50,15,2017,"Saptari","Control",0,24,"POTATO"
"T109201006",1,"Paddy","Monsoon",3,7,23,2,1.5,2,4,1,0,0,2017,"Saptari","Control",0,69,"PADDY"
"T109201006",2,"Wheat","Winter",7,12,18,2,2,2,3,1,0,0,2017,"Saptari","Control",0,72,"WHEAT"
"T109201006",1,"Paddy","Summer",12,3,13,2,2,5,2.5,1,0,0,2017,"Saptari","Control",0,130,"PADDY"
"T210405002",1,"Paddy","Monsoon",3,7,45,2,0.5,2,3,1,40,18,2017,"Saptari","Control",0,45,"PADDY"
"T210405002",2,"Wheat","Winter",7,12,35,2,1,2,2.5,1,0,0,2017,"Saptari","Control",0,70,"WHEAT"
"T210405002",33,"Pulses","Winter",7,11,5,0,0,0,30,3,20,59,2017,"Saptari","Control",0,0,"RED LENTIL"
"T210405002",47,"Vegetables","Winter",8,12,5,2,1,5,13,1,70,10,2017,"Saptari","Control",0,25,"POTATO"
"T210405002",1,"Paddy","Summer",12,3,15,2,1,4,2,1,0,0,2017,"Saptari","Control",0,60,"PADDY"
"T203908005",1,"Paddy","Monsoon",3,7,15,2,1,1,3,1,30,18,2017,"Saptari","Control",0,15,"PADDY"
"T203908005",2,"Wheat","Winter",7,12,8,2,2,2,2,1,0,0,2017,"Saptari","Control",0,32,"WHEAT"
"T203908005",42,"Oilseeds","Winter",7,12,2,0,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T203908005",1,"Paddy","Summer",12,3,10,2,2,5,2.5,1,0,0,2017,"Saptari","Control",0,100,"PADDY"
"T203900307",1,"Paddy","Monsoon",3,7,15,2,1.5,1,2.5,1,0,0,2017,"Saptari","Control",0,22.5,"PADDY"
"T203900307",2,"Wheat","Winter",7,12,10,2,2,2,1,1,0,0,2017,"Saptari","Control",0,40,"WHEAT"
"T203900307",47,"Vegetables","Winter",7,9,5,2,2,2,5,1,50,23,2017,"Saptari","Control",0,20,"POTATO"
"T106604005",1,"Paddy","Monsoon",3,7,20,2,2.5,1,3,1,0,0,2017,"Saptari","Control",0,50,"PADDY"
"T106604005",2,"Wheat","Winter",7,12,15,2,3,2,1.5,1,0,0,2017,"Saptari","Control",0,90,"WHEAT"
"T106604005",42,"Oilseeds","Winter",7,12,3,0,0,0,25,3,60,20,2017,"Saptari","Control",0,0,"LINSEED"
"T106604005",21,"Vegetables","Winter",7,12,2,2,2,1,15,3,50,65,2017,"Saptari","Control",0,4,"GREEN PEA"
"T203901004",1,"Paddy","Monsoon",3,7,17,2,1,1,2.5,1,0,0,2017,"Saptari","Control",0,17,"PADDY"
"T203901004",2,"Wheat","Winter",7,12,12,2,2,2,3,1,0,0,2017,"Saptari","Control",0,48,"WHEAT"
"T203901004",42,"Oilseeds","Winter",7,10,2,2,0,0,25,3,0,0,2017,"Saptari","Control",0,0,"LINSEED"
"T203901004",33,"Pulses","Winter",7,10,3,2,0,0,30,3,0,0,2017,"Saptari","Control",0,0,"RED LENTIL"
"T203901004",1,"Paddy","Summer",12,3,10,2,2,4,2,1,0,0,2017,"Saptari","Control",0,80,"PADDY"
